cc_call_ratio,low_engagement,Total_Renewal_Score_New,negative_calls,cc_financial_stress_calls,cc_pricing_issue_calls,cc_platform_issue_calls,email_financial_issue,low_payment_intent_count,tenure_bucket_TB_1-3,tenure_bucket_TB_10+,tenure_bucket_TB_3-5,tenure_bucket_TB_5-10,tenure_bucket_TB_Unknown,Band_band a,Band_band b,Band_band c1,Band_band c2,Band_band d,Band_band e,Band_band f,Band_band f1,Band_band f2,Band_band g,Band_band h,Band_band i,Band_band j,Band_group,Anchor_Group_10+,Anchor_Group_2,Anchor_Group_3,Anchor_Group_4 to 9,Anchor_Group_Unknown,Anchor_Group_independent,Payment_Method_card,Payment_Method_cheque,Payment_Method_world pay,Renewal_Year_2024
0.0,0,41.5,0.0,0.0,1.0,1.0,0.0,3.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0.0,1,33.0,1.0,0.0,1.0,1.0,0.0,1.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0.625,0,44.5,0.0,0.0,0.0,0.0,0.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0.2857142857142857,0,42.5,1.0,0.0,0.0,1.0,0.0,4.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0.0,0,40.5,0.0,0.0,0.0,0.0,0.0,2.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0.0,0,43.0,0.0,0.0,0.0,0.0,0.0,2.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0.25,0,42.0,1.0,0.0,0.0,0.0,0.0,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0.0,0,40.5,0.0,0.0,0.0,0.0,0.0,1.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0.0,0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0.0,0,41.5,0.0,0.0,0.0,0.0,0.0,4.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
